1	1	14.035	5.055
1	2	15.135	5.045
1	3	7.085	5.135
1	4	12.425	4.695
1	5	5.045	5.1850000000000005
1	6	7.575	5.105
1	9	5.785	5.195
1	13	6.485	4.885
1	15	11.895	4.6850000000000005
1	17	6.1850000000000005	5.135
2	1	14.015	5.065
2	2	15.055	5.045
2	3	7.025	5.135
2	4	12.365	4.695
2	5	4.985	5.175
2	6	7.495	5.105
2	9	5.7250000000000005	5.195
2	13	6.445	4.885
2	15	11.815	4.705
2	17	6.125	5.135
3	1	14.005	5.085
3	2	14.995000000000001	5.065
3	3	6.9750000000000005	5.1450000000000005
3	4	12.305	4.695
3	5	4.9350000000000005	5.175
3	6	7.415	5.105
3	9	5.675	5.195
3	13	6.405	4.8950000000000005
3	15	11.755	4.7250000000000005
3	17	6.075	5.1450000000000005
4	1	13.995000000000001	5.095
4	2	14.935	5.065
4	3	6.9350000000000005	5.165
4	4	12.245000000000001	4.695
4	5	4.885	5.175
4	6	7.355	5.115
4	9	5.625	5.205
4	13	6.365	4.905
4	15	11.695	4.745
4	17	6.035	5.155
5	1	13.995000000000001	5.115
5	2	14.875	5.085
5	3	6.885	5.175
5	4	12.185	4.695
5	5	4.835	5.175
5	6	7.275	5.125
5	9	5.575	5.215
5	13	6.325	4.915
5	15	11.635	4.765
5	17	5.9750000000000005	5.165
6	1	13.975	5.125
6	2	14.815	5.085
6	3	6.835	5.175
6	4	12.125	4.695
6	5	4.795	5.1850000000000005
6	6	7.195	5.135
6	9	5.525	5.2250000000000005
6	13	6.285	4.925
6	15	11.575000000000001	4.795
6	17	5.9350000000000005	5.175
7	1	13.965	5.1450000000000005
7	2	14.755	5.105
7	3	6.795	5.195
7	4	12.085	4.695
7	5	4.735	5.1850000000000005
7	6	7.135	5.135
7	9	5.4750000000000005	5.2250000000000005
7	13	6.245	4.9350000000000005
7	15	11.535	4.795
7	17	5.885	5.1850000000000005
8	1	13.955	5.155
8	2	14.695	5.105
8	3	6.735	5.205
8	4	12.065	4.715
8	5	4.6850000000000005	5.1850000000000005
8	6	7.055	5.155
8	9	5.425	5.235
8	13	6.205	4.9350000000000005
8	15	11.495000000000001	4.795
8	17	5.825	5.1850000000000005
9	1	13.955	5.1850000000000005
9	2	14.635	5.125
9	3	6.695	5.2250000000000005
9	4	12.065	4.735
9	5	4.635	5.175
9	6	6.9750000000000005	5.155
9	9	5.375	5.245
9	13	6.175	4.955
9	15	11.455	4.795
9	17	5.785	5.205
10	1	13.975	5.195
